Date de fin de période,Date de début de période,Période de paie (1-3),"Type de salaire (T=horaire, F=période)",Numéro du projet,Numéro de l'employé,"Type de travail (0=bureau, 1=chantier)",Code de métier,Classe,Code de région,Type de chantier,Taux de salaire,Nombre d'heures régulières,Nombre d'heures temps + «,Nombre d'heures temps x 2,Numéro de G/L vacances à payer,Numéro de G/L fonds de qualification à payer,Pourcentage de vacances,Numéro de G/L S.S.T. à payer,Taxe de vente assurance - $/heure,Taxe de vente assurance - %,Rég.enr.pens./Av.sociaux - $ (employé),Rég.enr.pens./Av.sociaux - $ (employeur),Rég.enr.pens./Av.sociaux - % (employé),Rég.enr.pens./Av.sociaux - % (employeur),Rég.enr.pens./Av.sociaux - $/hre (employé),Rég.enr.pens./Av.sociaux - $/hre (employeur),Syndicat - Nom,Syndicat - Local,Syndicat - $/mois,Syndicat - $/heure régulière,Syndicat - $/heure temps + «,Syndicat - $/heure temps x 2,Syndicat - $/période,Syndicat - %,Syndicat - Cotisation minimum / période,Syndicat - Nbre d'hres max. cotisables / pér.,Syndicat - % applicable aux vacances (O/N),Mnt d'av.sociaux pour rapport CCQ (employé),Mnt d'av.sociaux pour rapport CCQ (employeur),Montant de syndicat pour rapport CCQ,Montant cotisable pour les vacances,Equipement de sécurité - $/heure,Primes - Numéros (5x5),Primes - % (5x6),Primes - $/hre (5x5),Primes - Nombre d'heures régulières (5x5),Primes - Nombre d'heures T + « (5x5),Primes - Nombre d'heures T x 2 (5x5),Montant total de prime 1,Montant total de prime 2,Montant total de prime 3,Montant total de prime 4,Montant total de prime 5,Numéro de semaine (0-2),Province (1-12),n / a,Statut de l'employé,Annexe de salaire,Nombre d'heures assurable ass.-emploi,Date du jour,Taux fonds de qualification,Mnt. à l'heure sans max. pour syndicat,Salaire assurable possible pour S.S.T.,Excédent de salaire pour S.S.T.,Profil / Métier / Classe,Numéro de G/L dépenses salaires,Numéro de G/L charges sociales,Numéro de G/L vacances chantier,Numéro de G/L C.C.Q.,Code d'activité,Montant contribution sectorielle,Vacances versées (non comptabilisées),Vacances versées (comptabilisées),Poste de G/L pour les vac. courues à payer,Vacances versées - Total,Feuille de temps facturée (T/F),Numéro de produit,Description,Montant facturé,Numéro de G/L vente,Nombre d'heures facturées,Numéro du compte ouvert,Dernière paye versée à l'employé (T/F),Hres assurables pour vac. non comptabilisées,Hres assurables pour vac. comptabilisées,Contribution sectorielle,Calcul du % de vac. sur la dern. paye versée (T/F),Code identification unique,Unité de classification SST,Calcul hebdomadaire du max.ass.annuel (T/F),Nombre d'heures régulières - Semaine 1,Calculer un férié (T/F),"Versement de férié (1=sem 1, 2=sem 2, 3= 2sem.)",Exclusion RBQ (T/F),Vacances versées (non comptabilisées)-sem. 2,Vacances versées (comptabilisées)- sem. 2,% de vac. sur solde de pér. de réf. seulement,SSYNDHEB,STAXEASSE,SAPCHQCH,SAPCHQTA
2003/01/25,2003/01/19,1,TRUE,,0001,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/01/25,0.00,0.000,0.00,0.00,000000001R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,4EBH4Z2V7,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/01/25,2003/01/19,1,TRUE,,0002,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/01/25,0.00,0.000,0.00,0.00,000000002R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,BBQG91J4M,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/01/25,2003/01/19,1,TRUE,,0007,0,,,,,15.00,8.00,0.00,0.00,4.80,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,120.00,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,8.00,2003/01/25,0.00,0.000,0.00,0.00,,34100,34200,,,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,9V1ZJR41V,,TRUE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/01,2003/01/26,1,TRUE,,0001,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/02/01,0.00,0.000,0.00,0.00,000000001R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,JBIKX4BWT,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/01,2003/01/26,1,TRUE,,0002,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/02/01,0.00,0.000,0.00,0.00,000000002R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,KDV3PYFYD,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/01,2003/01/26,1,TRUE,,0005,0,,,,,17.00,40.00,0.00,0.00,27.20,0.00,0.0400,0.133600,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,680.00,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,40.00,2003/02/01,0.00,0.000,707.20,0.00,000000005R,34100,34200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,N6XF2VOQ2,,TRUE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/08,2003/02/02,1,TRUE,,0001,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/02/08,0.00,0.000,0.00,0.00,000000001R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,136J1BV3A,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/08,2003/02/02,1,TRUE,,0002,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/02/08,0.00,0.000,0.00,0.00,000000002R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,IQCVUV7V6,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/08,2003/02/02,1,TRUE,,0003,0,,,,,17.00,37.50,0.00,0.00,51.00,0.00,0.0800,0.005800,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,637.50,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,37.50,2003/02/08,0.00,0.000,696.50,0.00,,43100,43200,,,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,JPTU986ND,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/08,2003/02/02,1,TRUE,,0007,0,,,,,15.00,40.00,0.00,0.00,24.00,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,600.00,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,40.00,2003/02/08,0.00,0.000,0.00,0.00,,34100,34200,,,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,8VA34E0CG,,TRUE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/15,2003/02/09,1,TRUE,,0001,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/02/15,0.00,0.000,0.00,0.00,000000001R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,0W2AMB15K,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/15,2003/02/09,1,TRUE,,0002,0,,,,,16.08,40.00,0.00,0.00,25.73,0.00,0.0400,0.000000,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,643.20,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,0.00,2003/02/15,0.00,0.000,0.00,0.00,000000002R,43100,43200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,QOIKIGQIM,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/15,2003/02/09,1,TRUE,,0003,0,,,,,17.00,37.50,0.00,0.00,51.00,0.00,0.0800,0.005800,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,637.50,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,37.50,2003/02/15,0.00,0.000,696.50,0.00,,43100,43200,,,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,GTRD6FLGK,,FALSE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
2003/02/15,2003/02/09,1,TRUE,,0005,0,,,,,17.00,40.00,0.00,0.00,27.20,0.00,0.0400,0.133600,0.000,0.000000,0.00,0.00,0.000000,0.000000,0.000,0.000,,,0.00,0.000,0.000,0.000,0.00,0.000000,0.00,0.00,N,0.00,0.00,0.00,680.00,0.00,,0.00000.00000.00000.00000.0000,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00 0.00 0.00 0.00 0.00,0.00,0.00,0.00,0.00,0.00,0,12,0.000,,,40.00,2003/02/15,0.00,0.000,707.20,0.00,000000005R,34100,34200,34300,34400,,0.00,0.00,0.00,0.00,0.00,FALSE,,,0.0000,,0.00,,FALSE,TRUE,TRUE,0.00,FALSE,BHXLVOGMD,,TRUE,0.00,FALSE,1,FALSE,0.00,0.00,FALSE,FALSE,0.000,0.000,0.000
